anio;indicador;variable;nivel_agregacion;unidad_territorial;valor
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Tierra del Fuego;0.343333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Tucumán;0.547540984
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;C.A.B.A.;0.218068536
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Buenos Aires;0.200257703
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Catamarca;0.163522013
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Chaco;0.251533742
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Chubut;0.203333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Córdoba;0.193442623
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Corrientes;0.218461539
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Entre Ríos;0.25974026
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Formosa;0.28
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Jujuy;0.161904762
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;La Pampa;0.24925816
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;La Rioja;0.213333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Mendoza;0.176811594
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Misiones;0.303125
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Neuquén;0.214925373
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Río Negro;0.229102167
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Salta;0.196078431
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;San Juan;0.235616438
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;San Luis;0.162337662
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Santa Cruz;0.172757475
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Santa Fe;0.251533742
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Santiago del Estero;0.235880399
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Tierra del Fuego;0.23
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Calidad y disponibilidad de alimentos;Provincia;Tucumán;0.196721312
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;C.A.B.A.;0.420560748
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Buenos Aires;0.405811284
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Catamarca;0.411949686
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Chaco;0.414110429
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Chubut;0.376666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Córdoba;0.403278689
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Corrientes;0.406153846
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Entre Ríos;0.399350649
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Formosa;0.336666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Jujuy;0.425396825
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;La Pampa;0.421364985
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;La Rioja;0.386666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Mendoza;0.391304348
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Misiones;0.371875
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Neuquén;0.411940299
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Río Negro;0.377708978
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Salta;0.447712418
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;San Juan;0.326027397
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;San Luis;0.383116883
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Santa Cruz;0.428571429
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Santa Fe;0.383435583
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Santiago del Estero;0.405315615
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Tierra del Fuego;0.333333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Educación inclusiva y de calidad;Provincia;Tucumán;0.373770492
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;C.A.B.A.;0.482866044
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Buenos Aires;0.427655866
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Catamarca;0.547169811
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Chaco;0.524539877
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Chubut;0.39
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Córdoba;0.475409836
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Corrientes;0.486153846
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Entre Ríos;0.529220779
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Formosa;0.473333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Jujuy;0.434920635
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;La Pampa;0.465875371
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;La Rioja;0.536666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Mendoza;0.408695652
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Misiones;0.48125
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Neuquén;0.468656716
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Río Negro;0.452012384
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Salta;0.522875817
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;San Juan;0.438356164
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;San Luis;0.516233766
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Santa Cruz;0.455149502
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Santa Fe;0.496932515
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Santiago del Estero;0.531561462
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Tierra del Fuego;0.396666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Salud accesible. equitativa y de calidad;Provincia;Tucumán;0.498360656
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;C.A.B.A.;0.062305296
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Buenos Aires;0.052975596
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Catamarca;0.018867925
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Chaco;0.024539877
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Chubut;0.053333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Córdoba;0.032786885
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Corrientes;0.021538462
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Entre Ríos;0.012987013
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Formosa;0.033333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Jujuy;0.038095238
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;La Pampa;0.029673591
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;La Rioja;0.03
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Mendoza;0.034782609
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Misiones;0.05
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Neuquén;0.041791045
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Río Negro;0.089783282
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Salta;0.026143791
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;San Juan;0.04109589
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;San Luis;0.025974026
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Santa Cruz;0.033222591
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Santa Fe;0.049079755
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Santiago del Estero;0.019933555
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Tierra del Fuego;0.056666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo del sector espacial. aeronáutico y de telecomunicaciones;Provincia;Tucumán;0.032786885
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Potenciar la innovación en las empresas;Provincia;C.A.B.A.;0.112149533
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Potenciar la innovación en las empresas;Provincia;Buenos Aires;0.173054735
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Potenciar la innovación en las empresas;Provincia;Catamarca;0.172955975
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Potenciar la innovación en las empresas;Provincia;Chaco;0.147239264
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Potenciar la innovación en las empresas;Provincia;Chubut;0.116666667
